participant_id,exercise_type,user_weight_kg,user_height_cm,user_age,user_gender,duration_sec,total_reps,valid_reps,invalid_reps,valid_rep_ratio,avg_rom_deg,rep_velocity,peak_angular_velocity,rom_completeness_ratio,torso_inclination_angle,rep_cadence_variance,k_base_kcal,target_multiplier_m,target_kcal
ATHLETE_001,jumping_jack,71.9,197.5,60,female,24.5,10,8,2,0.8,103.5,24.46,205.4,0.863,15.4,0.26,3.389,1.1081,3.755
ATHLETE_001,pushup,71.9,197.5,60,female,84.1,32,22,10,0.688,89.5,22.84,174.4,0.814,95.0,0.078,11.615,0.9976,11.587
ATHLETE_001,jumping_jack,71.9,197.5,60,female,236.3,86,69,17,0.802,104.5,21.84,290.8,0.871,3.8,0.05,32.648,1.2276,40.078
ATHLETE_001,squat,71.9,197.5,60,female,170.5,62,42,20,0.677,95.7,21.81,223.6,0.87,18.2,0.38,19.143,1.1438,21.896
ATHLETE_001,squat,71.9,197.5,60,female,113.5,37,28,9,0.757,68.6,19.55,187.3,0.623,21.4,0.138,12.745,0.9713,12.379
ATHLETE_001,squat,71.9,197.5,60,female,63.1,19,13,6,0.684,80.1,18.06,198.6,0.728,16.3,0.115,7.085,1.0218,7.239
ATHLETE_001,pushup,71.9,197.5,60,female,51.0,21,14,7,0.667,114.1,24.7,254.9,1.037,92.2,0.05,7.047,1.2758,8.99
ATHLETE_001,jumping_jack,71.9,197.5,60,female,163.2,70,56,14,0.8,97.9,25.73,219.9,0.816,31.8,0.384,22.552,1.1361,25.623
ATHLETE_001,squat,71.9,197.5,60,female,215.2,79,54,25,0.684,120.6,22.03,251.7,1.096,32.0,0.238,24.155,1.2638,30.527
ATHLETE_001,pushup,71.9,197.5,60,female,176.3,55,40,15,0.727,107.0,18.71,219.8,0.973,95.0,0.416,24.364,1.1169,27.212
ATHLETE_001,pushup,71.9,197.5,60,female,74.8,26,20,6,0.769,91.2,20.84,206.3,0.829,92.3,0.57,10.34,1.0927,11.299
ATHLETE_001,squat,71.9,197.5,60,female,214.3,74,50,24,0.676,116.4,20.72,214.9,1.059,26.8,0.05,24.058,1.1316,27.225
ATHLETE_001,pushup,71.9,197.5,60,female,209.4,62,46,16,0.742,81.1,17.77,209.1,0.738,82.3,1.002,28.925,1.0189,29.472
ATHLETE_001,squat,71.9,197.5,60,female,68.1,26,19,7,0.731,104.2,22.9,222.9,0.948,26.5,0.436,7.648,1.1522,8.812
ATHLETE_001,pushup,71.9,197.5,60,female,82.7,25,19,6,0.76,93.6,18.15,223.9,0.851,88.8,0.096,11.421,1.1077,12.65
ATHLETE_001,squat,71.9,197.5,60,female,136.8,49,37,12,0.755,91.9,21.49,229.7,0.836,9.4,0.569,15.357,1.1352,17.433
ATHLETE_001,pushup,71.9,197.5,60,female,159.1,62,46,16,0.742,88.2,23.38,204.0,0.801,85.8,0.396,21.982,1.0761,23.654
ATHLETE_001,jumping_jack,71.9,197.5,60,female,176.5,73,52,21,0.712,121.7,24.82,137.4,1.014,23.9,0.465,24.378,1.0036,24.466
ATHLETE_001,squat,71.9,197.5,60,female,223.4,95,67,28,0.705,121.7,25.51,242.2,1.107,30.9,0.097,25.081,1.3614,34.146
ATHLETE_001,squat,71.9,197.5,60,female,217.4,94,72,22,0.766,84.1,25.94,177.6,0.764,24.2,0.763,24.402,1.0374,25.314
ATHLETE_001,pushup,71.9,197.5,60,female,161.2,50,34,16,0.68,108.2,18.61,253.5,0.984,86.4,0.412,22.278,1.1576,25.788
ATHLETE_001,pushup,71.9,197.5,60,female,69.3,28,19,9,0.679,123.6,24.23,195.1,1.124,92.7,0.375,9.58,1.1683,11.192
ATHLETE_001,pushup,71.9,197.5,60,female,139.4,52,40,12,0.769,113.4,22.39,171.4,1.031,84.9,0.828,19.254,1.0754,20.705
ATHLETE_001,jumping_jack,71.9,197.5,60,female,194.9,72,54,18,0.75,88.7,22.17,222.6,0.739,12.3,0.05,26.921,1.1275,30.353
ATHLETE_001,pushup,71.9,197.5,60,female,29.6,13,9,4,0.692,114.5,26.36,211.6,1.041,89.8,0.297,4.088,1.1527,4.713
ATHLETE_001,pushup,71.9,197.5,60,female,36.6,12,8,4,0.667,102.7,19.68,162.6,0.933,74.3,0.651,5.053,0.9473,4.787
ATHLETE_001,jumping_jack,71.9,197.5,60,female,145.4,45,34,11,0.756,133.0,18.57,225.6,1.109,27.0,0.424,20.09,1.228,24.671
ATHLETE_001,jumping_jack,71.9,197.5,60,female,84.6,35,27,8,0.771,123.3,24.83,358.7,1.027,24.6,0.424,11.687,1.3042,15.242
ATHLETE_001,squat,71.9,197.5,60,female,215.8,75,54,21,0.72,107.2,20.85,193.9,0.975,19.7,0.274,24.224,1.0781,26.115
ATHLETE_001,pushup,71.9,197.5,60,female,204.6,87,61,26,0.701,71.6,25.52,238.7,0.651,80.7,1.176,28.262,1.1531,32.589
ATHLETE_001,jumping_jack,71.9,197.5,60,female,38.8,11,8,3,0.727,152.6,17.02,246.0,1.272,3.8,0.555,5.357,1.2555,6.726
ATHLETE_001,jumping_jack,71.9,197.5,60,female,115.4,47,33,14,0.702,146.1,24.44,200.1,1.217,7.6,0.05,15.94,1.1944,19.038
ATHLETE_001,pushup,71.9,197.5,60,female,165.2,56,45,11,0.804,110.7,20.33,281.6,1.007,74.4,0.1,22.83,1.2785,29.187
ATHLETE_001,jumping_jack,71.9,197.5,60,female,186.7,56,38,18,0.679,122.0,17.99,250.9,1.017,12.6,0.237,25.798,1.1898,30.695
ATHLETE_001,jumping_jack,71.9,197.5,60,female,96.2,35,27,8,0.771,108.2,21.83,242.2,0.901,45.5,0.403,13.289,1.2071,16.041
ATHLETE_001,jumping_jack,71.9,197.5,60,female,227.7,97,74,23,0.763,124.9,25.56,260.0,1.041,11.7,0.583,31.463,1.2904,40.599
ATHLETE_001,jumping_jack,71.9,197.5,60,female,227.1,80,65,15,0.812,105.2,21.13,231.1,0.877,27.1,0.05,31.379,1.1641,36.529
ATHLETE_001,squat,71.9,197.5,60,female,77.4,28,21,7,0.75,113.2,21.72,217.4,1.029,19.3,1.2,8.683,1.1701,10.16
ATHLETE_001,squat,71.9,197.5,60,female,113.2,43,32,11,0.744,94.3,22.8,237.2,0.858,23.9,0.706,12.703,1.1503,14.612
ATHLETE_001,pushup,71.9,197.5,60,female,72.5,28,22,6,0.786,94.2,23.18,176.8,0.856,82.4,0.173,10.015,1.1065,11.082
ATHLETE_002,jumping_jack,67.8,155.0,53,female,128.5,48,24,24,0.5,134.2,22.42,349.2,1.119,17.3,0.935,14.518,1.236,17.944
ATHLETE_002,squat,67.8,155.0,53,female,32.7,15,8,7,0.533,99.4,27.55,302.3,0.904,24.9,0.05,2.999,1.2433,3.729
ATHLETE_002,jumping_jack,67.8,155.0,53,female,113.7,46,25,21,0.543,85.5,24.27,277.0,0.713,28.5,0.743,12.854,1.1261,14.475
ATHLETE_002,pushup,67.8,155.0,53,female,228.4,124,73,51,0.589,92.6,32.58,266.7,0.842,87.5,0.193,25.811,1.2571,32.447
ATHLETE_002,squat,67.8,155.0,53,female,92.7,41,21,20,0.512,128.3,26.55,207.2,1.167,26.8,0.606,8.508,1.2125,10.315
ATHLETE_002,jumping_jack,67.8,155.0,53,female,184.1,86,52,34,0.605,88.0,28.02,244.7,0.733,17.3,1.156,20.808,1.1805,24.564
